Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,10.475000,10.475000,10.450000,10.475000,10.475000,3000
2023-08-29,10.265000,10.445000,10.265000,10.445000,10.445000,7400
2023-08-30,10.425000,10.430000,10.415000,10.430000,10.430000,1400
2023-08-31,10.490000,10.515000,10.490000,10.515000,10.515000,4400
2023-09-01,10.765000,10.765000,10.625000,10.662500,10.662500,6000
2023-09-05,10.550000,10.591000,10.535500,10.535500,10.535500,6400
2023-09-06,10.500000,10.560000,10.500000,10.500000,10.500000,11400
2023-09-07,10.497500,10.511000,10.480000,10.480000,10.480000,3200
2023-09-08,10.392000,10.480000,10.340000,10.340000,10.340000,9000
2023-09-11,10.336000,10.375000,10.330000,10.330000,10.330000,3800
2023-09-12,10.272000,10.370000,10.250000,10.370000,10.370000,8800
2023-09-13,10.000000,10.115000,9.890000,9.912500,9.912500,3800
2023-09-14,9.940000,9.946000,9.915000,9.935500,9.935500,7400
2023-09-15,9.518000,9.520000,9.454000,9.470000,9.470000,14400
2023-09-18,9.520000,9.545000,9.360000,9.475000,9.475000,19400
2023-09-19,9.565000,9.565000,9.510000,9.525000,9.525000,19400
2023-09-20,9.146000,9.147500,9.100000,9.100000,9.100000,3600
2023-09-21,8.820000,8.835000,8.800000,8.800000,8.800000,13800
2023-09-22,9.085000,9.085000,8.860000,8.865000,8.865000,33400
2023-09-25,9.252500,9.373500,9.235000,9.285000,9.285000,29400
2023-09-26,9.145000,9.145000,9.100000,9.105000,9.105000,28400
2023-09-27,9.230000,9.230000,9.050000,9.085000,9.085000,13800
2023-09-28,9.020000,9.070000,9.020000,9.065000,9.065000,5400
2023-09-29,9.070000,9.070000,8.975000,8.995000,8.995000,8000
2023-10-02,8.805000,9.060000,8.785000,8.805000,8.805000,8400
2023-10-03,8.960000,8.965000,8.855000,8.895000,8.895000,23600
2023-10-04,8.645000,9.001000,8.645000,9.000000,9.000000,11800
2023-10-05,9.105000,9.155000,9.085000,9.150000,9.150000,11600
2023-10-06,9.045000,9.150000,9.045000,9.142000,9.142000,6400
2023-10-09,9.320000,9.345000,9.125000,9.125000,9.125000,4600
2023-10-10,9.395000,9.395000,9.205000,9.220000,9.220000,14200
2023-10-11,9.115000,9.115000,8.977500,9.087000,9.087000,2800
2023-10-12,9.180000,9.250000,9.135000,9.250000,9.250000,27400
2023-10-13,8.940000,8.950000,8.891000,8.909000,8.909000,15000
2023-10-16,8.950000,8.950000,8.860000,8.890000,8.890000,6600
2023-10-17,8.876500,8.977500,8.855000,8.942500,8.942500,20200
2023-10-18,8.935000,8.942500,8.850000,8.850000,8.850000,136800
2023-10-19,8.755000,8.760000,8.670000,8.690000,8.690000,9400
2023-10-20,8.810000,8.810000,8.740000,8.740000,8.740000,10800
2023-10-23,8.735000,8.826000,8.735000,8.799000,8.799000,7000
2023-10-24,8.655000,9.010000,8.655000,8.995000,8.995000,17000
2023-10-25,8.970000,9.130000,8.945000,9.065000,9.065000,11800
2023-10-26,8.405000,8.490000,8.130000,8.210000,8.210000,96200
2023-10-27,8.205000,8.205000,7.910000,7.920000,7.920000,102400
2023-10-30,7.785000,7.807000,7.785000,7.807000,7.807000,16400
2023-10-31,8.086500,8.086500,8.030000,8.059000,8.059000,21800
2023-11-01,7.970000,8.035000,7.970000,8.035000,8.035000,6400
2023-11-02,8.190000,8.225000,8.180000,8.225000,8.225000,13200
2023-11-03,8.490000,8.490000,8.325000,8.425000,8.425000,11000
2023-11-06,8.625000,8.625000,8.482500,8.550000,8.550000,43800
2023-11-07,8.450000,8.660000,8.450000,8.475000,8.475000,18800
2023-11-08,8.385000,8.385000,8.325500,8.332500,8.332500,14800
2023-11-09,8.495000,8.495000,8.405000,8.420000,8.420000,4400
2023-11-10,8.360000,8.425000,8.360000,8.405000,8.405000,12600
2023-11-13,8.300000,8.537500,8.300000,8.530000,8.530000,17600
